Salesforce_Table,Sensible_Python_Key,Actual_Salesforce_API_Name,Data_Type,Description,ScriptsUsing
Account,acct_auditing_notes,Auditing_Notes__c,long string,notes to the auditors,FALSE
Account,acct_fac_city,BillingCity,string,primary address fields,TRUE
Account,acct_fac_country,BillingCountry,string,primary address fields,TRUE
Account,acct_fac_lat,BillingLatitude,calculated,primary address fields,FALSE
Account,acct_fac_long,BillingLongitude,calculated,primary address fields,FALSE
Account,acct_fac_zip,BillingPostalCode,string,primary address fields,TRUE
Account,acct_fac_state,BillingState,string,primary address fields,TRUE
Account,acct_fac_street,BillingStreet,string,primary address fields,TRUE
Account,acct_accgcontact,Cert_Accounting_Contact__c,sObject,points to a Contact,TRUE
Account,acct_audit_duration,Cert_Audit_Duration__c,integer,audit infomation,FALSE
Account,acct_auditpkg,Cert_Audit_Package__c,sObject,points to Cert_Audit_Package__c,FALSE
Account,acct_certcontact,Cert_Certification_Contact__c,sObject,points to a Contact,TRUE
Account,acct_start_date,Cert_Certification_Date__c,datetime,"legacy, but I may start using",FALSE
Account,acct_status,Cert_Certification_Status__c,Enum,for cert program accounts,FALSE
Account,acct_continent,Cert_Continent__c,Enum,used for billing,FALSE
Account,acct_join_date,Cert_Join_Date__c,string,I may use this later,FALSE
Account,acct_qaqccontact,Cert_Marketing_Contact__c,sObject,points to a Contact,TRUE
Account,acct_cert_notes,Cert_Notes__c,long string,notes abot the account,FALSE
Account,acct_prcpcontact,Cert_Principal_Contact__c,sObject,points to a Contact,TRUE
Account,acct_roi_rec,Cert_Reciprocal_Indemnity_Agreement_Rec__c,boolean,,FALSE
Account,acct_nycontact,Cert_Safety_Contact__c,sObject,points to a Contact,FALSE
Account,acct_expydate,Cert_Scheduling_2_0_Cert_Month__c,datetime,standing expiration date,FALSE
Account,acct_certificationid,Certification_ID__c,string,Unique identifier that we use,TRUE
Account,acct_company_owner,Company_Owner__c,string,provided by participant,FALSE
Account,acct_created,CreatedDate,datetime,useful for data retention,FALSE
Account,acct_decline_multi,Declined_Multisite_Participation__c,boolean,,FALSE
Account,acct_id,Id,18dan,the main account identifier,TRUE
Account,acct_imis_city,IMISBusinessCity__c,string,mailing address fields,FALSE
Account,acct_imis_country,IMISBusinessCountry__c,string,mailing address fields,FALSE
Account,acct_imis_zip,IMISBusinessPostalCode__c,string,mailing address fields,FALSE
Account,acct_imis_state,IMISBusinessState__c,string,mailing address fields,FALSE
Account,acct_imis_street,IMISBusinessStreet__c,string,mailing address fields,FALSE
Account,acct_imisid,IMISID__c,string,iMIS fields,FALSE
Account,acct_imis_cat,IMISMembershipCategory__c,string,iMIS fields,FALSE
Account,acct_imis_status,IMISMembershipStatus__c,tbd,I don't know this one,FALSE
Account,acct_imis_type,IMISMembershipType__c,string,iMIS fields,FALSE
Account,acct_industry,Industry,Enum,"Fabicator, Erector, others",FALSE
Account,acct_inimis,InIMIS__c,boolean,,FALSE
Account,acct_invoicing_notes,Invoicing_Notes__c,long string,notes to invoicer,FALSE
Account,acct_imis_member,Is_active_in_IMIS_for_Member_Discount__c,boolean,,FALSE
Account,acct_support_office,Is_there_a_Support_Office__c,boolean,,FALSE
Account,acct_iscustomerportal,IsCustomerPortal,boolean,,FALSE
Account,acct_isdeleted,IsDeleted,boolean,,FALSE
Account,acct_ispartner,IsPartner,boolean,,FALSE
Account,acct_ispriorityrecord,IsPriorityRecord,boolean,,FALSE
Account,acct_moddate,LastModifiedDate,datetime,-,FALSE
Account,acct_list_of_certifications,List_of_Certifications__c,calculated,,FALSE
Account,acct_mship_category,Membership_Category__c,many,iMIS related,FALSE
Account,acct_mship_type,Membership_Type__c,many,iMIS related,FALSE
Account,acct_multisite_participant,Multisite_Participant__c,boolean,,FALSE
Account,acct_multisite_primary,Multisite_Primary_Location__c,boolean,,FALSE
Account,acct_name,Name,many,Account Name,TRUE
Account,acct_num_employees,NumberOfEmployees,many,,FALSE
Account,acct_ny program,NY_Program_Participant__c,Checkbox,Evaluates if a company qualifies for NY Contact routing,FALSE
Account,acct_ownerid,OwnerId,sObject,points to a User,FALSE
Account,acct_parentid,ParentId,sObject,points to another Account,FALSE
Account,acct_phone,Phone,many,,FALSE
Account,acct_erection_fields,Primary_fields_of_erection_fabrication__c,many,,FALSE
Account,acct_apply_reasons,Reasons_for_applying_for_Certification__c,many,,FALSE
Account,acct_safety_award,Safety_Award_Winner,boolean,,FALSE
Account,acct_mail_city,ShippingCity,many,,FALSE
Account,acct_mail_country,ShippingCountry,many,,FALSE
Account,acct_mail_lat,ShippingLatitude,many,,FALSE
Account,acct_mail_lon,ShippingLongitude,many,,FALSE
Account,acct_mail_zip,ShippingPostalCode,many,,FALSE
Account,acct_mail_state,ShippingState,many,,FALSE
Account,acct_mail_street,ShippingStreet,many,,FALSE
Account,acct_special_notes,Special_Notes__c,many,,FALSE
Account,acct_support_functions,Support_Office_Functions__c,many,,FALSE
Account,acct_support_location,Support_Office_Location__c,many,,FALSE
Account,acct_sustainability,Sustainability_Program__c,boolean,,FALSE
Account,acct_url,Website,string,should be restricted to a url,FALSE
Case,case_acctid,AccountId,,,TRUE
Case,case_additional_audit,Additional_Audit__c,,,FALSE
Case,case_adhere_to_aisc_cosp_2_1,Adhere_to_AISC_CoSP_2_1__c,,,FALSE
Case,case_ap_email,AP_Email__c,,,FALSE
Case,case_ap_name,AP_Name__c,,,FALSE
Case,case_ap_phone,AP_Phone__c,,,FALSE
Case,case_ap_title,AP_Title__c,,,FALSE
Case,case_application_docs_recieved,Application_Docs_Recieved__c,,,FALSE
Case,case_application_notes,Application_Notes__c,,,FALSE
Case,case_application_status,Application_Status__c,,,FALSE
Case,case_architect,Architect__c,,,FALSE
Case,case_article_training,Article_Training__c,,,FALSE
Case,case_cancellation_reason,Cancellation_Reason__c,,,FALSE
Case,case_number,CaseNumber,,,TRUE
Case,case_aisc_full_member_number,Cert_AISC_Full_Member_Number__c,,,FALSE
Case,case_certification_types,Cert_Certification_Types__c,,,FALSE
Case,case_company_name,Cert_Company_Name__c,,,FALSE
Case,case_doc_audit_scope,Cert_Doc_Audit_Scope__c,,,FALSE
Case,case_due_date,Cert_Due_Date__c,,,FALSE
Case,case_expedited_application,Cert_Expedited_Application__c,,,FALSE
Case,case_facility_city,Cert_Facility_City__c,,,FALSE
Case,case_facility_state,Cert_Facility_State__c,,,FALSE
Case,case_facility_zip_code,Cert_Facility_Zip_Code__c,,,FALSE
Case,case_adhere_requirements,Cert_I_Will_Adhere_Requirements__c,,,FALSE
Case,case_international_facility_state,Cert_International_Facility_State__c,,,FALSE
Case,case_division_of_a_parent,Cert_Is_this_a_division_of_a_parent__c,,,FALSE
Case,case_is_this_a_scope_change,Cert_Is_this_a_scope_change__c,,,FALSE
Case,case_parent_company_name,Cert_Parent_Company_Name__c,,,FALSE
Case,case_stage,Cert_Stage__c,,,FALSE
Case,case_title,Cert_Title__c,,,FALSE
Case,case_total_employees,Cert_Total_Number_of_Employees__c,,,FALSE
Case,case_certification_email,Certification_Email__c,,,FALSE
Case,case_certification_name,Certification_Name__c,,,FALSE
Case,case_certification_phone,Certification_Phone__c,,,FALSE
Case,case_client_type,Client_Type__c,,,FALSE
Case,case_closeddate,ClosedDate,,,FALSE
Case,case_comments,Comments,,,FALSE
Case,case_cgl_expiration,Commercial_General_Liability_Expiration__c,,,FALSE
Case,case_company_website,Company_Website__c,,,FALSE
Case,case_contactemail,ContactEmail,,,FALSE
Case,case_contactfax,ContactFax,,,FALSE
Case,case_contactid,ContactId,,,FALSE
Case,case_contactmobile,ContactMobile,,,FALSE
Case,case_contactphone,ContactPhone,,,FALSE
Case,case_continent,Continent__c,,,FALSE
Case,case_createdbyid,CreatedById,,,FALSE
